,datetime,ask,bid
1077,2023-07-19 15:15:51.106972,1.29518,1.29506
1078,2023-07-19 15:15:51.184941,1.29518,1.29506
1079,2023-07-19 15:15:51.247426,1.29518,1.29506
1080,2023-07-19 15:15:51.335423,1.29518,1.29506
1081,2023-07-19 15:15:51.402965,1.29518,1.29506
1082,2023-07-19 15:15:51.465451,1.29518,1.29506
1083,2023-07-19 15:15:51.529081,1.29518,1.29506
1084,2023-07-19 15:15:51.600168,1.29518,1.29506
1085,2023-07-19 15:15:51.654385,1.29518,1.29506
1086,2023-07-19 15:15:51.731861,1.29518,1.29506
1087,2023-07-19 15:15:51.794343,1.29518,1.29506
1088,2023-07-19 15:15:51.857290,1.29518,1.29506
1089,2023-07-19 15:15:51.933317,1.29518,1.29506
1090,2023-07-19 15:15:51.996860,1.29518,1.29506
1091,2023-07-19 15:15:52.059526,1.29518,1.29506
1092,2023-07-19 15:15:52.122012,1.29518,1.29506
1093,2023-07-19 15:15:52.184791,1.29518,1.29506
1094,2023-07-19 15:15:52.262837,1.29518,1.29506
1095,2023-07-19 15:15:52.435454,1.29518,1.29506
1096,2023-07-19 15:15:52.497043,1.29518,1.29506
1097,2023-07-19 15:15:52.559528,1.29518,1.29506
1098,2023-07-19 15:15:52.622452,1.29518,1.29506
1099,2023-07-19 15:15:52.699852,1.29518,1.29506
1100,2023-07-19 15:15:52.762780,1.29518,1.29506
1101,2023-07-19 15:15:52.825965,1.29518,1.29506
1102,2023-07-19 15:15:52.904072,1.29518,1.29506
1103,2023-07-19 15:15:52.967481,1.29518,1.29506
1104,2023-07-19 15:15:53.027623,1.29518,1.29506
1105,2023-07-19 15:15:53.096467,1.29518,1.29506
1106,2023-07-19 15:15:53.169023,1.29518,1.29506
1107,2023-07-19 15:15:53.242450,1.29518,1.29506
1108,2023-07-19 15:15:53.310104,1.29518,1.29506
1109,2023-07-19 15:15:53.372619,1.29518,1.29506
1110,2023-07-19 15:15:53.451627,1.29518,1.29506
1111,2023-07-19 15:15:53.514495,1.29518,1.29506
1112,2023-07-19 15:15:53.575562,1.29518,1.29506
1113,2023-07-19 15:15:53.654683,1.29518,1.29506
1114,2023-07-19 15:15:53.717298,1.29518,1.29506
1115,2023-07-19 15:15:53.794403,1.29518,1.29506
1116,2023-07-19 15:15:53.856889,1.29518,1.29506
1117,2023-07-19 15:15:53.919846,1.29518,1.29506
1118,2023-07-19 15:15:53.982330,1.29518,1.29506
1119,2023-07-19 15:15:54.061625,1.29518,1.29506
1120,2023-07-19 15:15:54.121772,1.29518,1.29506
1121,2023-07-19 15:15:54.184258,1.29518,1.29506
1122,2023-07-19 15:15:54.262366,1.29518,1.29506
1123,2023-07-19 15:15:54.332792,1.29518,1.29506
1124,2023-07-19 15:15:54.403404,1.29518,1.29506
1125,2023-07-19 15:15:54.497729,1.29518,1.29506
1126,2023-07-19 15:15:54.575416,1.29518,1.29506
1127,2023-07-19 15:15:54.644750,1.29518,1.29506
1128,2023-07-19 15:15:54.701203,1.29518,1.29506
1129,2023-07-19 15:15:54.776179,1.29518,1.29506
1130,2023-07-19 15:15:54.840728,1.29518,1.29506
1131,2023-07-19 15:15:54.919710,1.29518,1.29506
1132,2023-07-19 15:15:54.992516,1.29518,1.29506
1133,2023-07-19 15:15:55.060054,1.29518,1.29506
1134,2023-07-19 15:15:55.121769,1.29518,1.29506
1135,2023-07-19 15:15:55.193881,1.29518,1.29506
1136,2023-07-19 15:15:55.263269,1.29518,1.29506
1137,2023-07-19 15:15:55.325809,1.29518,1.29506
1138,2023-07-19 15:15:55.413451,1.29518,1.29506
1139,2023-07-19 15:15:55.481505,1.29518,1.29506
1140,2023-07-19 15:15:55.544586,1.29518,1.29506
1141,2023-07-19 15:15:55.622693,1.29518,1.29506
1142,2023-07-19 15:15:55.700803,1.29518,1.29506
1143,2023-07-19 15:15:55.778444,1.29518,1.29506
1144,2023-07-19 15:15:55.847850,1.29518,1.29506
1145,2023-07-19 15:15:55.903788,1.29518,1.29506
1146,2023-07-19 15:15:55.966515,1.29518,1.29506
1147,2023-07-19 15:15:56.044623,1.29518,1.29506
1148,2023-07-19 15:15:56.107806,1.29518,1.29506
1149,2023-07-19 15:15:56.177500,1.29518,1.29506
1150,2023-07-19 15:15:56.238587,1.29518,1.29506
1151,2023-07-19 15:15:56.309601,1.29518,1.29506
1152,2023-07-19 15:15:56.372086,1.29518,1.29506
1153,2023-07-19 15:15:56.434736,1.29518,1.29506
1154,2023-07-19 15:15:56.513309,1.29518,1.29506
1155,2023-07-19 15:15:56.575795,1.29518,1.29506
1156,2023-07-19 15:15:56.637980,1.29518,1.29506
1157,2023-07-19 15:15:56.700465,1.29518,1.29506
1158,2023-07-19 15:15:56.778642,1.29518,1.29506
1159,2023-07-19 15:15:56.841843,1.29518,1.29506
1160,2023-07-19 15:15:56.915136,1.29518,1.29506
1161,2023-07-19 15:15:56.982471,1.29518,1.29506
1162,2023-07-19 15:15:57.048837,1.29518,1.29506
1163,2023-07-19 15:15:57.109695,1.29518,1.29506
1164,2023-07-19 15:15:57.185444,1.29518,1.29506
1165,2023-07-19 15:15:57.252515,1.29518,1.29506
1166,2023-07-19 15:15:57.325415,1.29518,1.29506
1167,2023-07-19 15:15:57.400936,1.29518,1.29506
1168,2023-07-19 15:15:57.466336,1.29518,1.29506
1169,2023-07-19 15:15:57.637309,1.29518,1.29506
1170,2023-07-19 15:15:57.717422,1.29518,1.29506
1171,2023-07-19 15:15:57.779906,1.29518,1.29506
1172,2023-07-19 15:15:57.840329,1.29518,1.29506
1173,2023-07-19 15:15:57.918435,1.29518,1.29506
1174,2023-07-19 15:15:57.980888,1.29518,1.29506
1175,2023-07-19 15:15:58.044377,1.29518,1.29506
1176,2023-07-19 15:15:58.110664,1.29518,1.29506
1177,2023-07-19 15:15:58.185457,1.29518,1.29506
1178,2023-07-19 15:15:58.257152,1.29518,1.29506
1179,2023-07-19 15:15:58.310455,1.29518,1.29506
1180,2023-07-19 15:15:58.497164,1.29518,1.29506
1181,2023-07-19 15:15:58.559651,1.29518,1.29506
1182,2023-07-19 15:15:58.643316,1.29518,1.29506
1183,2023-07-19 15:15:58.716038,1.29518,1.29506
1184,2023-07-19 15:15:58.778523,1.29518,1.29506
1185,2023-07-19 15:15:58.841848,1.29521,1.29508
1186,2023-07-19 15:15:58.921387,1.29521,1.29508
1187,2023-07-19 15:15:58.985104,1.29521,1.29508
1188,2023-07-19 15:15:59.044565,1.2952,1.29506
1189,2023-07-19 15:15:59.107657,1.2952,1.29506
1190,2023-07-19 15:15:59.169848,1.2952,1.29506
1191,2023-07-19 15:15:59.246719,1.2952,1.29506
1192,2023-07-19 15:15:59.309262,1.2952,1.29506
1193,2023-07-19 15:15:59.372294,1.2952,1.29506
1194,2023-07-19 15:15:59.452830,1.2952,1.29506
1195,2023-07-19 15:15:59.512799,1.2952,1.29506
1196,2023-07-19 15:15:59.576719,1.2952,1.29506
1197,2023-07-19 15:15:59.639205,1.2952,1.29506
1198,2023-07-19 15:15:59.716070,1.29519,1.29505
1199,2023-07-19 15:15:59.916993,1.29518,1.29504
1200,2023-07-19 15:15:59.981989,1.29518,1.29504
1201,2023-07-19 15:16:00.044511,1.29518,1.29504
1202,2023-07-19 15:16:00.122802,1.29518,1.29504
1203,2023-07-19 15:16:00.184718,1.29518,1.29504
1204,2023-07-19 15:16:00.247856,1.29518,1.29504
1205,2023-07-19 15:16:00.310341,1.29518,1.29504
1206,2023-07-19 15:16:00.388496,1.29521,1.29507
1207,2023-07-19 15:16:00.450950,1.29521,1.29507
1208,2023-07-19 15:16:00.529059,1.29521,1.29507
1209,2023-07-19 15:16:00.591593,1.29521,1.29507
1210,2023-07-19 15:16:00.662063,1.29521,1.29507
1211,2023-07-19 15:16:00.716429,1.29521,1.29507
1212,2023-07-19 15:16:00.795026,1.29521,1.29507
1213,2023-07-19 15:16:00.857508,1.29521,1.29507
1214,2023-07-19 15:16:00.929496,1.29521,1.29507
1215,2023-07-19 15:16:00.981821,1.29521,1.29507
1216,2023-07-19 15:16:01.059888,1.29521,1.29507
1217,2023-07-19 15:16:01.123640,1.29521,1.29507
1218,2023-07-19 15:16:01.185524,1.29521,1.29507
1219,2023-07-19 15:16:01.248202,1.29521,1.29507
1220,2023-07-19 15:16:01.326419,1.29521,1.29507
1221,2023-07-19 15:16:01.388902,1.29521,1.29507
1222,2023-07-19 15:16:01.466150,1.29521,1.29507
1223,2023-07-19 15:16:01.532800,1.29521,1.29507
1224,2023-07-19 15:16:01.592704,1.29521,1.29507
1225,2023-07-19 15:16:01.654313,1.29521,1.29507
1226,2023-07-19 15:16:01.716797,1.29521,1.29507
1227,2023-07-19 15:16:01.796735,1.29521,1.29507
1228,2023-07-19 15:16:01.872424,1.29521,1.29507
1229,2023-07-19 15:16:02.075829,1.29521,1.29507
1230,2023-07-19 15:16:02.139225,1.29521,1.29507
1231,2023-07-19 15:16:02.199907,1.29521,1.29507
1232,2023-07-19 15:16:02.283230,1.2952,1.29507
1233,2023-07-19 15:16:02.341461,1.2952,1.29507
1234,2023-07-19 15:16:02.419973,1.2952,1.29507
1235,2023-07-19 15:16:02.481855,1.2952,1.29507
1236,2023-07-19 15:16:02.545391,1.2952,1.29507
1237,2023-07-19 15:16:02.607876,1.2952,1.29507
1238,2023-07-19 15:16:02.669416,1.2952,1.29507
1239,2023-07-19 15:16:02.746427,1.2952,1.29507
1240,2023-07-19 15:16:02.794584,1.2952,1.29507
1241,2023-07-19 15:16:02.871313,1.2952,1.29507
1242,2023-07-19 15:16:02.942081,1.2952,1.29507
1243,2023-07-19 15:16:02.996466,1.2952,1.29507
1244,2023-07-19 15:16:03.074764,1.2952,1.29507
1245,2023-07-19 15:16:03.137353,1.2952,1.29507
1246,2023-07-19 15:16:03.215110,1.2952,1.29507
1247,2023-07-19 15:16:03.277596,1.2952,1.29507
1248,2023-07-19 15:16:03.340442,1.2952,1.29507
1249,2023-07-19 15:16:03.419904,1.2952,1.29507
1250,2023-07-19 15:16:03.489263,1.2952,1.29507
1251,2023-07-19 15:16:03.547958,1.2952,1.29507
1252,2023-07-19 15:16:03.622268,1.2952,1.29507
1253,2023-07-19 15:16:03.684754,1.2952,1.29507
1254,2023-07-19 15:16:03.765952,1.2952,1.29507
1255,2023-07-19 15:16:04.018302,1.2952,1.29507
1256,2023-07-19 15:16:04.092368,1.2952,1.29507
1257,2023-07-19 15:16:04.153663,1.2952,1.29507
1258,2023-07-19 15:16:04.216346,1.2952,1.29507
1259,2023-07-19 15:16:04.294568,1.2952,1.29507
1260,2023-07-19 15:16:04.352076,1.2952,1.29507
1261,2023-07-19 15:16:04.483119,1.2952,1.29507
1262,2023-07-19 15:16:04.563845,1.2952,1.29507
1263,2023-07-19 15:16:04.638535,1.2952,1.29507
1264,2023-07-19 15:16:04.701778,1.2952,1.29507
1265,2023-07-19 15:16:04.764264,1.2952,1.29507
1266,2023-07-19 15:16:04.841215,1.2952,1.29507
1267,2023-07-19 15:16:04.907840,1.2952,1.29507
1268,2023-07-19 15:16:04.972716,1.2952,1.29507
1269,2023-07-19 15:16:05.030626,1.2952,1.29507
1270,2023-07-19 15:16:05.108381,1.2952,1.29507
1271,2023-07-19 15:16:05.169235,1.2952,1.29507
1272,2023-07-19 15:16:05.240079,1.2952,1.29507
